Year,RegionID,Zipcode,City,State,Metro,CountyName,ZRI,lat,lon
2011,95984,90003,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1567.5,33.964131,-118.272783
2011,95985,90004,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2458.0,34.076198,-118.310722
2011,95986,90005,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2261.5,34.059163,-118.30689199999999
2011,95987,90006,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1877.0,34.048041,-118.294177
2011,95988,90007,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1769.5,34.028127000000005,-118.28483
2011,95989,90008,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2244.5,34.009552,-118.346724
2011,95991,90010,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2531.5,34.062148,-118.31588899999998
2011,95992,90011,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1601.0,34.007090000000005,-118.25868100000001
2011,95993,90012,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1798.5,34.065975,-118.238642
2011,95994,90013,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1771.0,34.045405,-118.240454
2011,95995,90014,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1613.0,34.043146,-118.251746
2011,95996,90015,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2157.5,34.039378,-118.2663
2011,95997,90016,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1946.5,34.028331,-118.35433799999998
2011,95998,90017,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1994.0,34.052913000000004,-118.26433999999999
2011,95999,90018,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1846.5,34.028887,-118.31718300000001
2011,96000,90019,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2293.5,34.049841,-118.33846000000001
2011,96001,90020,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1848.5,34.066379,-118.30986999999999
2011,96003,90022,East Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1648.0,34.023728000000006,-118.156275
2011,96004,90023,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1580.0,34.022502,-118.19961299999999
2011,96005,90024,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,3268.0,34.065740000000005,-118.435025
2011,96006,90025,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2730.0,34.045421000000005,-118.44587299999999
