year,zipcode,ZRI,lat,lon
2017,94109,6017,37.795388,-122.422444
2017,94110,4723,37.750021,-122.415201
2017,94112,3932,37.720367,-122.442936
2017,94114,5944,37.758059,-122.435408
2017,94115,8150,37.785969,-122.437253
2017,94116,4133,37.745399,-122.486065
2017,94117,6411,37.769436,-122.447662
2017,94118,6284,37.780093,-122.462605
2017,94121,4570,37.776769,-122.494707
2017,94122,4240,37.758799,-122.485127
2017,94123,12327,37.800934,-122.438366
2017,94124,3877,37.728895,-122.382779
2017,94127,4859,37.736027,-122.457207
2017,94131,4843,37.745917,-122.441473
2017,94132,4273,37.722214,-122.484083
2017,94133,5925,37.804531,-122.410852
2017,94134,3855,37.721046,-122.413555
2018,94102,4776,37.779584,-122.419339
2018,94103,4519,37.773152,-122.411164
2018,94105,4522,37.789649,-122.393067
2018,94107,4849,37.75826,-122.406044
2018,94109,6003,37.795388,-122.422444
2018,94110,4674,37.750021,-122.415201
2018,94112,3861,37.720367,-122.442936
2018,94114,5770,37.758059,-122.435408
2018,94115,8057,37.785969,-122.437253
2018,94116,4056,37.745399,-122.486065
2018,94117,6214,37.769436,-122.447662
2018,94118,6054,37.780093,-122.462605
2018,94121,4483,37.776769,-122.494707
2018,94122,4167,37.758799,-122.485127
2018,94123,11185,37.800934,-122.438366
2018,94124,3680,37.728895,-122.382779
2018,94127,4811,37.736027,-122.457207
2018,94131,4759,37.745917,-122.441473
2018,94132,4173,37.722214,-122.484083
2018,94133,5885,37.804531,-122.410852
2018,94134,3684,37.721046,-122.413555
2011,94002,3420,37.514354,-122.298901
2011,94010,5454,37.57028,-122.365778
2011,94010,5454,37.57028,-122.365778
2011,94022,6419,37.35748,-122.14444
2011,94024,5115,37.352232,-122.094398
2011,94025,4332,37.456392,-122.173601
2011,94027,11377,37.453514,-122.204756
2011,94027,11377,37.453514,-122.204756
2011,94028,6874,37.37685,-122.209761
2011,94040,3676,37.380568,-122.085297
2011,94041,3171,37.38852,-122.075726
2011,94043,2828,37.414028,-122.070679
2011,94085,2292,37.388556,-122.017732
2011,94086,2764,37.371647,-122.023134
