,year,zipcode,ZRI,lat,lon
128365,2018,1510,1796.0,42.411887,-71.690005
128366,2018,1515,1542.0,42.209682,-72.040178
128367,2018,1516,1850.0,42.053072,-71.752241
128368,2018,1518,1806.0,42.127477,-72.118818
128369,2018,1519,2362.0,42.203404,-71.679739
128370,2018,1520,1920.0,42.336385,-71.850759
128371,2018,1521,1624.0,42.046783000000005,-72.180212
128372,2018,1522,1863.0,42.375634000000005,-71.86738199999999
128373,2018,1523,2036.0,42.483569,-71.675585
128374,2018,1524,1657.0,42.249635999999995,-71.919248
128375,2018,1527,1774.0,42.192246000000004,-71.777649
128376,2018,1529,1891.0,42.036642,-71.578779
128377,2018,1532,2441.0,42.323342,-71.646236
128378,2018,1534,2001.0,42.142074,-71.643348
128379,2018,1535,1560.0,42.267564,-72.06687600000001
128380,2018,1536,1942.0,42.231309,-71.692642
128381,2018,1537,1624.0,42.158966,-71.897051
128382,2018,1540,1607.0,42.116263000000004,-71.857465
128383,2018,1541,2000.0,42.454125,-71.87754
128384,2018,1542,1681.0,42.204251,-71.908907
128385,2018,1543,1687.0,42.388284999999996,-71.969865
128386,2018,1545,2236.0,42.284766999999995,-71.714228
128387,2018,1550,1458.0,42.059737,-72.033908
128388,2018,1560,2183.0,42.175395,-71.674223
128389,2018,1562,1592.0,42.247211,-71.991867
128390,2018,1564,1953.0,42.447924,-71.776045
128391,2018,1566,1733.0,42.103214,-72.079545
128392,2018,1568,2266.0,42.176526,-71.603588
128393,2018,1569,1889.0,42.055921000000005,-71.631128
128394,2018,1570,1504.0,42.047532000000004,-71.846952
128395,2018,1571,1646.0,42.053778,-71.935075
128396,2018,1581,2543.0,42.268426,-71.613309
128397,2018,1583,1889.0,42.369417,-71.785036
128398,2018,1585,1547.0,42.240796,-72.162645
128399,2018,1588,1765.0,42.1188,-71.672496
128400,2018,1590,2116.0,42.132051000000004,-71.75031800000001
128401,2018,1602,1650.0,42.269189000000004,-71.850728
128402,2018,1603,1537.0,42.243826,-71.84356899999999
128403,2018,1604,1603.0,42.253485,-71.767932
128404,2018,1605,1644.0,42.289683000000004,-71.78779300000001
128405,2018,1606,1623.0,42.315249,-71.795741
128406,2018,1607,1581.0,42.225974,-71.788894
128407,2018,1609,1986.0,42.285114,-71.829987
128408,2018,1610,1539.0,42.247049,-71.808366
128409,2018,1611,1598.0,42.237604,-71.875838
128410,2018,1612,1916.0,42.296797999999995,-71.928991
128411,2018,1701,2472.0,42.319587,-71.4428
128412,2018,1702,2380.0,42.282379,-71.436623
128413,2018,1719,2956.0,42.485985,-71.520985
128414,2018,1720,2836.0,42.483953,-71.43849499999999
128415,2018,1721,2499.0,42.257754999999996,-71.473526
128416,2018,1730,2891.0,42.499332,-71.281901
128417,2018,1740,2879.0,42.439933,-71.601885
128418,2018,1741,3237.0,42.536807,-71.361324
128419,2018,1742,3373.0,42.462911,-71.364496
128420,2018,1746,2518.0,42.195951,-71.45343000000001
128421,2018,1747,2151.0,42.123007,-71.53140400000001
128422,2018,1748,2937.0,42.224096,-71.54048900000001
128423,2018,1749,2351.0,42.389071,-71.545864
128424,2018,1752,2340.0,42.349616999999995,-71.547214
128425,2018,1754,2403.0,42.425955,-71.45625600000001
128426,2018,1756,2380.0,42.09387,-71.544519
128427,2018,1757,1967.0,42.158691999999995,-71.521419
128428,2018,1760,2745.0,42.284822,-71.348811
128429,2018,1770,3254.0,42.231947,-71.372963
128430,2018,1772,3224.0,42.302877,-71.530828
128431,2018,1773,3724.0,42.425506,-71.310812
128432,2018,1775,2593.0,42.429688,-71.512514
128433,2018,1776,3093.0,42.383367,-71.42107
128434,2018,1778,3020.0,42.356275,-71.361942
128435,2018,1801,2478.0,42.488703,-71.154383
128436,2018,1803,2627.0,42.503227,-71.201713
128437,2018,1810,3138.0,42.648044,-71.161751
128438,2018,1821,2409.0,42.54933,-71.251725
128439,2018,1824,2461.0,42.590790000000005,-71.355182
128440,2018,1826,2217.0,42.679722999999996,-71.30068
128441,2018,1827,2571.0,42.676149,-71.499772
128442,2018,1830,1963.0,42.796313,-71.053436
128443,2018,1832,2015.0,42.791114,-71.132859
128444,2018,1833,2540.0,42.726226000000004,-70.98331800000001
128445,2018,1834,2294.0,42.7539,-71.015935
128446,2018,1835,2087.0,42.751327,-71.094421
128447,2018,1841,1718.0,42.712015,-71.164873
128448,2018,1843,1783.0,42.689988,-71.16039
128449,2018,1844,2115.0,42.742641,-71.178651
128450,2018,1845,2866.0,42.673909,-71.091334
128451,2018,1850,2045.0,42.656045,-71.303309
128452,2018,1851,2165.0,42.627813,-71.335334
128453,2018,1852,2185.0,42.632978,-71.29561600000001
128454,2018,1854,2195.0,42.649481,-71.348229
128455,2018,1860,2217.0,42.838603000000006,-71.011997
128456,2018,1862,2436.0,42.578542999999996,-71.295592
128457,2018,1863,2339.0,42.63378,-71.38946999999999
128458,2018,1864,2625.0,42.578401,-71.084448
128459,2018,1867,2704.0,42.535183,-71.105423
128460,2018,1876,2383.0,42.611801,-71.227571
128461,2018,1879,2421.0,42.667761999999996,-71.42882
128462,2018,1880,2615.0,42.501523999999996,-71.067489
128463,2018,1886,2678.0,42.585541,-71.44025
128464,2018,1887,2483.0,42.564646999999994,-71.164516
128465,2018,1890,3687.0,42.452752000000004,-71.144319
128466,2018,1902,2137.0,42.471039000000005,-70.941535
128467,2018,1904,2289.0,42.492456,-70.97393000000001
128468,2018,1905,2180.0,42.465998,-70.975792
128469,2018,1906,2433.0,42.468432,-71.01394599999999
128470,2018,1907,2581.0,42.474145,-70.90659699999999
128471,2018,1908,2584.0,42.428256,-70.926041
128472,2018,1913,2168.0,42.851293,-70.95581
128473,2018,1915,2439.0,42.570665000000005,-70.867583
128474,2018,1921,3246.0,42.683108000000004,-71.027188
128475,2018,1922,2627.0,42.757313,-70.914241
128476,2018,1923,2480.0,42.574174,-70.95051600000001
128477,2018,1929,2272.0,42.64042,-70.77117199999999
128478,2018,1930,2095.0,42.61991,-70.681824
128479,2018,1938,2481.0,42.683859999999996,-70.84266600000001
128480,2018,1940,2951.0,42.534146,-71.038333
128481,2018,1944,3492.0,42.576636,-70.767154
128482,2018,1945,2710.0,42.501565,-70.858834
128483,2018,1949,2810.0,42.606666,-71.010316
128484,2018,1950,2568.0,42.812358,-70.89109499999999
128485,2018,1951,2440.0,42.773351,-70.850211
128486,2018,1952,2117.0,42.844794,-70.841499
128487,2018,1960,2409.0,42.534279,-70.969782
128488,2018,1966,2093.0,42.640699,-70.62025
128489,2018,1969,2645.0,42.720873,-70.89121999999999
128490,2018,1970,2351.0,42.524435,-70.870859
128491,2018,1982,2615.0,42.626222999999996,-70.85723
128492,2018,1983,2941.0,42.641387,-70.943383
128493,2018,1984,2928.0,42.600668,-70.88325999999999
128494,2018,1985,2941.0,42.799565,-70.964428
128495,2018,2019,2255.0,42.076682,-71.47449
128496,2018,2021,2845.0,42.175737,-71.125385
128497,2018,2025,3429.0,42.236444,-70.814309
128498,2018,2026,2709.0,42.246871999999996,-71.179462
128499,2018,2030,4584.0,42.234159999999996,-71.291167
128500,2018,2032,2741.0,42.156882,-71.216187
128501,2018,2035,2577.0,42.061338,-71.245802
128502,2018,2038,2553.0,42.084858000000004,-71.41057099999999
128503,2018,2043,3671.0,42.216097999999995,-70.88127
128504,2018,2045,2256.0,42.292253,-70.923919
128505,2018,2048,2510.0,42.017302,-71.21642
128506,2018,2050,2228.0,42.115139,-70.71033100000001
128507,2018,2052,3075.0,42.184599,-71.305307
128508,2018,2053,2610.0,42.156203000000005,-71.43034499999999
128509,2018,2054,2477.0,42.173103000000005,-71.36375600000001
128510,2018,2056,2873.0,42.113659999999996,-71.33756
128511,2018,2061,2947.0,42.164569,-70.818844
128512,2018,2062,2637.0,42.187364,-71.195971
128513,2018,2066,2575.0,42.202273,-70.758184
128514,2018,2067,2812.0,42.1076,-71.181828
128515,2018,2072,2410.0,42.119006,-71.10365
128516,2018,2081,2768.0,42.147042,-71.269965
128517,2018,2090,3127.0,42.219645,-71.216768
128518,2018,2093,2652.0,42.052671000000004,-71.356858
128519,2018,2108,15345.0,42.357758000000004,-71.064899
128520,2018,2114,5159.0,42.363174,-71.068646
128521,2018,2115,2972.0,42.337105,-71.105696
128522,2018,2116,3217.0,42.350578999999996,-71.076397
128523,2018,2118,3722.0,42.337582,-71.070482
128524,2018,2119,2895.0,42.324028999999996,-71.08501700000001
128525,2018,2120,3340.0,42.33209,-71.09654499999999
128526,2018,2121,2736.0,42.306267,-71.085897
128527,2018,2122,2685.0,42.291413,-71.042158
128528,2018,2124,2689.0,42.285804999999996,-71.070571
128529,2018,2125,2749.0,42.315682,-71.055555
128530,2018,2126,2588.0,42.274227,-71.09742299999999
128531,2018,2127,3084.0,42.334992,-71.03909300000001
128532,2018,2128,2637.0,42.361203,-71.00705
128533,2018,2129,3048.0,42.379657,-71.061487
128534,2018,2130,2947.0,42.309174,-71.113835
128535,2018,2131,2650.0,42.284333000000004,-71.126228
128536,2018,2132,2681.0,42.280454999999996,-71.162017
128537,2018,2134,3035.0,42.358016,-71.128608
128538,2018,2135,2777.0,42.349688,-71.153964
128539,2018,2136,2570.0,42.255083,-71.12921999999999
128540,2018,2138,5113.0,42.379637,-71.135152
128541,2018,2139,3072.0,42.362986,-71.103353
128542,2018,2140,3123.0,42.392157,-71.133996
128543,2018,2141,2820.0,42.3703,-71.08256
128544,2018,2143,2810.0,42.381407,-71.096714
128545,2018,2144,2927.0,42.399654999999996,-71.12255
128546,2018,2145,2649.0,42.391577000000005,-71.08991
128547,2018,2148,2440.0,42.42938,-71.058706
128548,2018,2149,2394.0,42.405938,-71.054649
128549,2018,2150,2548.0,42.396824,-71.031348
128550,2018,2151,2540.0,42.41829,-71.001251
128551,2018,2152,2730.0,42.373055,-70.974807
128552,2018,2155,2662.0,42.423844,-71.10923100000001
128553,2018,2169,2489.0,42.248385999999996,-71.002279
128554,2018,2170,2739.0,42.266415,-71.015576
128555,2018,2171,2741.0,42.293327000000005,-71.01819300000001
128556,2018,2176,2711.0,42.455723,-71.05901899999999
128557,2018,2180,2645.0,42.474208000000004,-71.097665
128558,2018,2184,2551.0,42.206188,-71.00232
128559,2018,2186,3011.0,42.241559,-71.082437
128560,2018,2188,2415.0,42.204662,-70.957633
128561,2018,2189,2401.0,42.209781,-70.92817600000001
128562,2018,2190,2410.0,42.166731,-70.952363
128563,2018,2191,2411.0,42.243453,-70.942033
128564,2018,2215,2881.0,42.347635,-71.103082
128565,2018,2301,1905.0,42.078371000000004,-71.042304
128566,2018,2302,1910.0,42.088907,-70.998375
128567,2018,2322,2329.0,42.132461,-71.054013
128568,2018,2324,2117.0,41.972376000000004,-70.978773
128569,2018,2330,1996.0,41.875178999999996,-70.74671500000001
128570,2018,2332,2956.0,42.044407,-70.70606
128571,2018,2333,1948.0,42.037116,-70.942178
128572,2018,2338,2014.0,42.002634,-70.86370600000001
128573,2018,2339,2440.0,42.122956,-70.85631
128574,2018,2341,2087.0,42.05024,-70.867359
128575,2018,2343,2356.0,42.140346,-70.997861
128576,2018,2346,1984.0,41.878004,-70.86926700000001
128577,2018,2347,2062.0,41.834384,-70.956826
128578,2018,2351,2091.0,42.115764,-70.956597
128579,2018,2356,2541.0,42.060539,-71.119671
128580,2018,2359,2201.0,42.067803999999995,-70.805713
128581,2018,2360,1991.0,41.882062,-70.631289
128582,2018,2364,2110.0,41.987196000000004,-70.74194200000001
128583,2018,2367,2202.0,41.9591,-70.80275300000001
128584,2018,2368,2395.0,42.176092,-71.05204300000001
128585,2018,2370,2003.0,42.130399,-70.910615
128586,2018,2375,2468.0,42.00569,-71.078041
128587,2018,2379,2014.0,42.021617,-71.026717
128588,2018,2382,1984.0,42.078974,-70.93939
128589,2018,2420,3608.0,42.457055,-71.215464
128590,2018,2421,3615.0,42.438547,-71.239573
128591,2018,2445,7262.0,42.325483,-71.13504499999999
128592,2018,2446,6448.0,42.343499,-71.122244
128593,2018,2451,2605.0,42.397825,-71.255701
128594,2018,2452,2777.0,42.392438,-71.213912
128595,2018,2453,2655.0,42.369541999999996,-71.240513
128596,2018,2458,3662.0,42.353584999999995,-71.188192
128597,2018,2459,3922.0,42.314778999999994,-71.192017
128598,2018,2460,3490.0,42.351824,-71.20849
128599,2018,2461,3549.0,42.317362,-71.206508
128600,2018,2462,3246.0,42.328708,-71.2559
128601,2018,2464,2883.0,42.312975,-71.218882
128602,2018,2465,3296.0,42.348912,-71.22633
128603,2018,2466,3401.0,42.344457,-71.24861700000001
128604,2018,2467,4504.0,42.314321,-71.152778
128605,2018,2468,4552.0,42.328553,-71.22953000000001
128606,2018,2472,2773.0,42.369451,-71.177925
128607,2018,2474,2811.0,42.420949,-71.15637
128608,2018,2476,2836.0,42.415637,-71.17567
128609,2018,2478,3719.0,42.395317,-71.180284
128610,2018,2481,5347.0,42.311946999999996,-71.27551700000001
128611,2018,2482,4117.0,42.293099,-71.298535
128612,2018,2492,3412.0,42.276483,-71.243714
128613,2018,2493,5118.0,42.360502000000004,-71.303433
128614,2018,2494,3136.0,42.299490000000006,-71.232519
128615,2018,2532,1809.0,41.751759,-70.59755200000001
128616,2018,2536,1858.0,41.596293,-70.56747
128617,2018,2537,1965.0,41.728421000000004,-70.43581
128618,2018,2538,1780.0,41.777363,-70.642228
128619,2018,2540,2008.0,41.573890999999996,-70.632042
128620,2018,2556,1973.0,41.639447,-70.624515
128621,2018,2557,2342.0,41.441713,-70.576143
128622,2018,2559,1851.0,41.690243,-70.616283
128623,2018,2562,1933.0,41.787209000000004,-70.526717
128624,2018,2563,1887.0,41.728137,-70.476549
128625,2018,2571,1751.0,41.761187,-70.695991
128626,2018,2576,1892.0,41.772221,-70.762948
128627,2018,2601,1765.0,41.656038,-70.296764
128628,2018,2630,2082.0,41.706756,-70.312489
128629,2018,2632,1892.0,41.659096999999996,-70.346877
128630,2018,2635,2074.0,41.624054,-70.439397
128631,2018,2638,1957.0,41.730245000000004,-70.19739200000001
128632,2018,2639,1751.0,41.668067,-70.136979
128633,2018,2644,1882.0,41.683488,-70.510786
128634,2018,2648,1907.0,41.670946,-70.41537
128635,2018,2649,1939.0,41.616801,-70.49009699999999
128636,2018,2655,2082.0,41.627984000000005,-70.392013
128637,2018,2660,1797.0,41.707699,-70.15856
128638,2018,2664,1796.0,41.674727000000004,-70.19564799999999
128639,2018,2668,2049.0,41.716208,-70.363097
128640,2018,2670,1819.0,41.660103,-70.170681
128641,2018,2673,1770.0,41.655637,-70.24724
128642,2018,2675,1886.0,41.70395,-70.23155200000001
128643,2018,2702,1982.0,41.785113,-71.05904699999999
128644,2018,2703,1898.0,41.931653000000004,-71.294503
128645,2018,2715,1982.0,41.805594,-71.15770699999999
128646,2018,2717,1900.0,41.760106,-70.972762
128647,2018,2718,1895.0,41.862486,-71.01169
128648,2018,2719,1709.0,41.633666999999996,-70.871362
128649,2018,2720,1734.0,41.723023,-71.121527
128650,2018,2721,1592.0,41.675125,-71.14828100000001
128651,2018,2723,1548.0,41.692705,-71.129726
128652,2018,2724,1554.0,41.683935999999996,-71.1775
128653,2018,2725,1691.0,41.720043,-71.188272
128654,2018,2726,1804.0,41.7597,-71.144592
128655,2018,2738,2225.0,41.704134,-70.752201
128656,2018,2739,2106.0,41.665794,-70.814531
128657,2018,2740,1530.0,41.637485,-70.938265
128658,2018,2743,1819.0,41.718216999999996,-70.901151
128659,2018,2744,1547.0,41.606252000000005,-70.91363199999999
128660,2018,2745,1583.0,41.700737,-70.950546
128661,2018,2746,1500.0,41.660995,-70.940137
128662,2018,2747,1892.0,41.664711,-71.015699
128663,2018,2748,2009.0,41.553084000000005,-70.971453
128664,2018,2760,2348.0,41.972567,-71.334375
128665,2018,2762,2430.0,42.012838,-71.336188
128666,2018,2763,2418.0,41.966865999999996,-71.308574
128667,2018,2764,1941.0,41.851929,-71.153598
128668,2018,2766,1949.0,41.965340999999995,-71.18178
128669,2018,2767,1907.0,41.940996000000005,-71.04849899999999
128670,2018,2769,2387.0,41.846878000000004,-71.24486999999999
128671,2018,2770,2132.0,41.760864,-70.83895600000001
128672,2018,2771,2012.0,41.839797999999995,-71.31804699999999
128673,2018,2777,1796.0,41.758163,-71.21418100000001
128674,2018,2779,2200.0,41.838060999999996,-71.07761500000001
128675,2018,2780,1840.0,41.909112,-71.118346
128676,2018,2790,1974.0,41.599176,-71.082371
128677,2018,2804,1465.0,41.434771999999995,-71.769527
128678,2018,2806,2510.0,41.734753000000005,-71.319732
128679,2018,2808,1441.0,41.408251,-71.749674
128680,2018,2809,2158.0,41.67573,-71.273331
128681,2018,2814,1744.0,41.895948,-71.700406
128682,2018,2816,1661.0,41.696498999999996,-71.622662
128683,2018,2817,2218.0,41.637083000000004,-71.678361
128684,2018,2818,2562.0,41.642919,-71.48571899999999
128685,2018,2825,1835.0,41.782067,-71.726833
128686,2018,2827,1902.0,41.698747999999995,-71.739118
128687,2018,2828,1852.0,41.880158,-71.56440500000001
128688,2018,2830,1693.0,41.97493,-71.651187
128689,2018,2831,1855.0,41.774762,-71.620289
128690,2018,2835,2553.0,41.510088,-71.378366
128691,2018,2837,2679.0,41.518769,-71.167247
128692,2018,2838,1693.0,41.958892999999996,-71.475687
128693,2018,2840,2493.0,41.478215999999996,-71.322375
128694,2018,2842,2353.0,41.518673,-71.281685
128695,2018,2857,1808.0,41.822761,-71.633605
128696,2018,2859,1555.0,41.959073,-71.757323
128697,2018,2860,1604.0,41.870562,-71.388681
128698,2018,2861,1551.0,41.878603000000005,-71.353131
128699,2018,2863,1593.0,41.890064,-71.39348100000001
128700,2018,2864,1793.0,41.966913,-71.428933
128701,2018,2865,1962.0,41.915455,-71.449815
128702,2018,2871,2336.0,41.586609,-71.259211
128703,2018,2878,1953.0,41.607962,-71.182556
128704,2018,2885,2048.0,41.725138,-71.25880500000001
128705,2018,2886,1695.0,41.703849,-71.455568
128706,2018,2888,1591.0,41.747671000000004,-71.406118
128707,2018,2889,1596.0,41.700590999999996,-71.376927
128708,2018,2891,1481.0,41.362146,-71.79089300000001
128709,2018,2893,1573.0,41.679006,-71.518688
128710,2018,2895,1500.0,42.001706,-71.499949
128711,2018,2896,1843.0,41.975186,-71.544069
128712,2018,2903,1645.0,41.81823,-71.409088
128713,2018,2904,1651.0,41.858334,-71.43629399999999
128714,2018,2905,1740.0,41.784725,-71.396103
128715,2018,2906,2725.0,41.840169,-71.390408
128716,2018,2907,1691.0,41.798593,-71.42463000000001
128717,2018,2908,1760.0,41.839825,-71.43679399999999
128718,2018,2909,1447.0,41.821195,-71.453376
128719,2018,2910,1639.0,41.774999,-71.435594
128720,2018,2911,1641.0,41.854888,-71.472812
128721,2018,2914,1611.0,41.815115999999996,-71.365787
128722,2018,2915,1593.0,41.772847,-71.354839
128723,2018,2916,1742.0,41.842661,-71.352438
128724,2018,2917,1813.0,41.906288,-71.523811
128725,2018,2919,1689.0,41.82744,-71.519879
128726,2018,2920,1677.0,41.767344,-71.465508
128727,2018,2921,2169.0,41.760748,-71.514647
128728,2018,3031,2409.0,42.874824,-71.600533
128729,2018,3032,2205.0,42.997287,-71.363518
128730,2018,3033,2278.0,42.749263,-71.67567
128731,2018,3034,1965.0,43.056895000000004,-71.34063499999999
128732,2018,3036,2018.0,42.98453,-71.255104
128733,2018,3037,2109.0,43.141273999999996,-71.24819699999999
128734,2018,3038,1955.0,42.887613,-71.28204699999999
128735,2018,3042,1933.0,43.054092,-71.08410500000001
128736,2018,3043,1749.0,42.997,-71.81778800000001
128737,2018,3044,1959.0,43.000369,-71.119162
128738,2018,3045,1891.0,43.021515,-71.563462
128739,2018,3046,1820.0,43.116395000000004,-71.595437
128740,2018,3047,1661.0,42.936319,-71.867127
128741,2018,3048,1666.0,42.742874,-71.76175500000001
128742,2018,3049,2782.0,42.749624,-71.585402
128743,2018,3051,2196.0,42.760496999999994,-71.40939300000001
128744,2018,3052,2362.0,42.846081,-71.468283
128745,2018,3053,2200.0,42.869839,-71.387845
128746,2018,3054,2215.0,42.852034,-71.519876
128747,2018,3055,1796.0,42.818645000000004,-71.673354
128748,2018,3057,2203.0,42.908885,-71.694199
128749,2018,3060,1824.0,42.741087,-71.45826600000001
128750,2018,3062,2117.0,42.722322999999996,-71.501176
128751,2018,3063,2087.0,42.7821,-71.518366
128752,2018,3064,1959.0,42.779379999999996,-71.47492
128753,2018,3070,2054.0,42.981209,-71.67752
128754,2018,3071,1609.0,42.746257,-71.874434
128755,2018,3076,2296.0,42.730992,-71.337075
